id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,
8110,Cbg Helps Haiti Rm #2,22486,Lisel,Brooklyn,Park Slope,40.68001,-73.97865,Private room,110,2,71,02/07/2019,0.61,6,304,
8490,"Maison Des Sirenes1,Bohemian Apartment",25183,Nathalie,Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028,Entire home/apt,120,2,88,19/06/2019,0.73,2,233,
8505,Sunny Bedroom Across Prospect Park,25326,Gregory,Brooklyn,Windsor Terrace,40.65599,-73.97519,Private room,60,1,19,23/06/2019,1.37,2,85,
9357,Midtown Pied-A-Terre,30193,Tommi,Manhattan,Hell's Kitchen,40.76715,-73.98533,Entire home/apt,150,10,58,13/08/2017,0.49,1,75,
9518,"Spacious, Lovely Furnished Manhattan Bedroom",31374,Shon,Manhattan,Inwood,40.86482,-73.92106,Private room,44,3,108,15/06/2019,1.11,3,311,
9657,Modern 1 Br / Nyc / East Village,21904,Dana,Manhattan,East Village,40.7292,-73.98542,Entire home/apt,180,14,29,19/04/2019,0.24,1,67,
9668,Front Room/Double Bed,32294,Ssameer Or Trip,Manhattan,Harlem,40.82245,-73.95104,Private room,50,3,242,01/06/2019,2.04,3,355,
9704,Spacious 1 Bedroom In Luxe Building,32045,Teri,Manhattan,Harlem,40.81305,-73.95466,Private room,52,2,88,14/06/2019,1.42,1,255,
9782,Loft In Williamsburg Area W/ Roof,32169,Andrea,Brooklyn,Greenpoint,40.72219,-73.93762,Private room,55,4,197,15/06/2019,1.65,3,284,
9783,Back Room/Bunk Beds,32294,Ssameer Or Trip,Manhattan,Harlem,40.8213,-73.95318,Private room,50,3,273,01/07/2019,2.37,3,359,
10452,Large B&B Style Rooms,35935,Angela,Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473,Private room,70,1,74,12/05/2019,0.66,2,269,
10962,"Lovely Room 2 & Garden; Best Area, Legal Rental",9744,Laurie,Brooklyn,South Slope,40.66869,-73.9878,Private room,89,4,168,21/06/2019,1.41,3,340,
11708,Cute Apt In Artist'S Home,44145,Tyrome,Brooklyn,Bushwick,40.70186,-73.92745,Entire home/apt,85,2,231,22/06/2019,1.96,2,22,
12048,Lowereastside Apt Share Shortterm 1,7549,Ben,Manhattan,Lower East Side,40.71401,-73.98917,Shared room,40,1,214,05/07/2019,1.81,4,188,
12192,Enjoy Downtown Nyc!,46978,Edward,Manhattan,East Village,40.7229,-73.98199,Private room,68,2,245,21/06/2019,2.08,2,96,
12299,Beautiful Sunny Park Slope Brooklyn,47610,Abdul,Brooklyn,South Slope,40.66278,-73.97966,Entire home/apt,120,3,15,27/05/2019,0.39,1,345,
12303,1Bdr W Private Bath. In Lofty Apt,47618,Yolande,Brooklyn,Fort Greene,40.69673,-73.97584,Private room,120,7,25,30/09/2018,0.23,1,311,
12318,West Side Retreat,16800,Cyn,Manhattan,Upper West Side,40.79009,-73.97927,Private room,135,4,81,16/06/2019,0.69,1,273,
12343,Best Bet In Harlem,47727,Earl,Manhattan,Harlem,40.81175,-73.94478,Entire home/apt,150,7,97,13/06/2019,0.84,1,309,
12627,Entire Apartment In Central Brooklyn Neighborhood.,49670,Rana,Brooklyn,Prospect-Lefferts Gardens,40.65944,-73.96238,Entire home/apt,150,29,11,05/06/2019,0.49,1,95,
12937,"1 Stop Fr. Manhattan! Private Suite,Landmark Block",50124,Orestes,Queens,Long Island City,40.74771,-73.9474,Private room,130,3,248,01/07/2019,2.25,1,215,
12940,Charming Brownstone 3 - Near Pratt,50148,Adreinne,Brooklyn,Bedford-Stuyvesant,40.68111,-73.95591,Entire home/apt,110,7,61,25/05/2019,0.52,1,265,
13050,Bright And Stylish Duplex,50846,Jennifer,Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409,Entire home/apt,115,3,11,01/01/2017,0.1,1,0,
13394,Fort Greene Brownstone ,52335,Alexander,Brooklyn,Fort Greene,40.69142,-73.97376,Private room,80,3,135,17/06/2019,1.16,2,192,
13808,Blue Room For 2 In Brownstone For $1350 Monthly,54275,JT And Tiziana,Brooklyn,Bedford-Stuyvesant,40.68043,-73.93934,Private room,80,1,112,16/06/2019,1.01,3,251,
14287,Cozy 1Bd On Central Park West In New York City,56094,Joya,Manhattan,Upper West Side,40.78635,-73.97008,Entire home/apt,151,2,73,07/07/2019,0.63,1,302,
14290,* Original Brooklyn Loft *,56104,James,Brooklyn,Williamsburg,40.7042,-73.9356,Entire home/apt,228,3,82,17/05/2019,0.7,1,140,
14314,Greenpoint Place...Has It All! ,56246,Jeanne,Brooklyn,Greenpoint,40.73506,-73.95392,Entire home/apt,144,2,328,29/06/2019,2.82,1,234,
14322,Beautiful Apartment In Manhattan!!!,56284,Francesca,Manhattan,Kips Bay,40.73961,-73.98074,Entire home/apt,200,7,19,25/03/2019,0.22,1,257,
14377,Williamsburg 1 Bedroom Apartment,56512,Joanna,Brooklyn,Williamsburg,40.70881,-73.9593,Entire home/apt,150,30,105,22/06/2019,0.9,1,30,
14991,"Great Location, Manhattan Bedroom!",59023,Bianca,Manhattan,Lower East Side,40.72004,-73.99104,Private room,110,5,19,18/05/2019,0.17,1,301,
15220,Best Location In Nyc! Times Square!,59734,Luiz,Manhattan,Hell's Kitchen,40.75531,-73.99293,Private room,69,2,289,09/06/2019,2.49,2,294,
15338,Room In Greenpoint Loft W/ Roof,32169,Andrea,Brooklyn,Greenpoint,40.72401,-73.93788,Private room,49,4,138,04/06/2019,1.19,3,320,
15341,**Bright Nolita Apt W Doorman/Elevators/Gym**,60049,Ted,Manhattan,SoHo,40.7221,-73.99775,Entire home/apt,180,30,21,29/06/2019,0.3,1,154,
15385,"Very, Very Cozy Place",60252,Cristina,Brooklyn,Williamsburg,40.71185,-73.96204,Private room,80,2,42,30/06/2019,0.38,1,263,
15396,Sunny & Spacious Chelsea Apartment,60278,Petra,Manhattan,Chelsea,40.74623,-73.9953,Entire home/apt,375,180,5,03/11/2018,0.12,1,180,
15711,2 Bedroom - Upper East Side-Great For Kids,61491,D,Manhattan,Upper East Side,40.77065,-73.95269,Entire home/apt,250,2,66,30/03/2019,0.57,2,231,
16326,Comfortable 4-Bedroom Apt In Family House.,63588,Dimitri,Brooklyn,Prospect Heights,40.67811,-73.96428,Entire home/apt,200,30,143,26/01/2019,1.33,2,297,
16338,Double Room W Private Deck Clinton Hill Best Area,63613,Patricia,Brooklyn,Clinton Hill,40.69,-73.96788,Private room,55,7,27,30/09/2017,0.23,2,292,
16421,Your Heaven In Hells Kitchen,63924,Mark,Manhattan,Hell's Kitchen,40.75979,-73.99119,Private room,52,30,191,16/05/2019,1.65,1,191,
16458,Light-Filled 2B Duplex In The Heart Of Park Slope!,64056,Sara,Brooklyn,Park Slope,40.67343,-73.98338,Entire home/apt,225,3,4,24/09/2017,0.16,1,0,
16580,"Sunny, Modern Room In East Village!",64442,Reka,Manhattan,East Village,40.72649,-73.97904,Private room,80,1,338,01/07/2019,4.72,2,72,
16595,*Haven Loft - Entire Floor - Six Windows - Bricks*,64522,Daniel,Brooklyn,Williamsburg,40.70933,-73.96792,Entire home/apt,275,1,148,23/06/2019,1.4,1,362,
16821,Large Room In Amazing East Village Apt,4396,Casey,Manhattan,East Village,40.72298,-73.98474,Private room,99,1,106,21/06/2019,1.26,2,336,
16974,Spaha Loft: Enormous And Bright,65837,Robin,Manhattan,East Harlem,40.80164,-73.93922,Entire home/apt,225,4,190,23/06/2019,1.64,1,215,
17037,Lovely Ev Artist'S Home,66035,Anna,Manhattan,East Village,40.72162,-73.98008,Entire home/apt,230,9,49,14/05/2018,0.43,1,116,
17092,Cool Room In Hell'S Kitchen,66243,Enzo,Manhattan,Hell's Kitchen,40.76342,-73.98865,Private room,51,7,23,01/06/2019,0.43,1,88,
17693,"Harlem, New York Welcomes You!!",68428,Tye And Etienne,Manhattan,Washington Heights,40.83139,-73.94095,Private room,65,2,49,18/06/2019,1.6,2,336,
17747,Blue Trim Guest House,68599,George,Brooklyn,Clinton Hill,40.68346,-73.96374,Private room,105,2,105,26/06/2019,0.92,1,304,
18127,Charming East Village One Bedroom Flat,69829,Josh,Manhattan,East Village,40.72828,-73.98801,Entire home/apt,190,5,21,02/01/2019,0.2,1,224,
18152,Manhattan Room,69942,Victoria,Manhattan,Upper East Side,40.76865,-73.95058,Private room,200,1,142,06/07/2019,1.5,1,322,
18198,Little King Of Queens,70091,Justin,Queens,Woodside,40.75038,-73.90334,Private room,70,30,25,31/05/2019,0.22,1,324,
18590,Fort Greene Retreat On The Park,71512,Blaise,Brooklyn,Fort Greene,40.6932,-73.97267,Private room,95,3,143,16/06/2019,1.28,1,132,
18728,Beautiful Meatpacking District Loft,71876,DAVID And RICK,Manhattan,Chelsea,40.74138,-74.00197,Private room,150,3,167,28/05/2019,1.65,1,295,
18764,Cozy 2 Br In Williamsburg ,72014,Lulú,Brooklyn,Williamsburg,40.71154,-73.96112,Private room,145,3,61,22/04/2019,0.54,4,238,
19159,Spacious Luminous Apt Upper West Nyc,73051,Sybilla,Manhattan,Harlem,40.82915,-73.95136,Entire home/apt,110,31,54,23/03/2019,0.49,1,209,
19169,Entire 2 Bedroom - Large & Sunny,73128,JoLynn,Manhattan,Lower East Side,40.71851,-73.98892,Entire home/apt,285,5,70,30/06/2019,0.62,1,328,
19282,"Sunny, Spacious Top Floor Haven",73469,Gaia,Brooklyn,Flatbush,40.65401,-73.96323,Entire home/apt,130,6,16,15/06/2019,0.15,1,38,
19319,Private Room Great Deal At Lower East Side,44263,Ana,Manhattan,Lower East Side,40.7114,-73.98794,Private room,94,30,94,08/04/2019,0.84,1,188,
19601,Perfect For A Family Or Small Group,74303,Maggie,Brooklyn,Brooklyn Heights,40.69723,-73.99268,Entire home/apt,800,1,25,04/08/2016,0.24,1,7,
19812,2 Bedroom Williamsburg Apt - Bedford L Stop,74857,Starlee,Brooklyn,Williamsburg,40.71833,-73.95748,Entire home/apt,105,3,61,09/08/2018,0.53,1,272,
20299,Oh Glorious Spring!,62407,Edward,Manhattan,East Village,40.72334,-73.9844,Private room,60,3,194,30/06/2019,1.73,1,26,
20300,Great Location For Nyc,76627,Pas,Manhattan,East Village,40.72912,-73.98057,Private room,50,1,2,14/02/2016,0.05,1,0,
20611,Cozy Bedroom In Williamsburg 3 Br,72014,Lulú,Brooklyn,Williamsburg,40.71156,-73.96218,Private room,85,3,174,22/06/2019,1.54,4,288,
20724,Sunny Room+Pvte Office In Huge Loft,961342,Augustin,Brooklyn,Bushwick,40.70032,-73.9383,Private room,65,4,24,26/05/2019,0.28,1,317,
20734,Spacious Prospect Heights Apartment,78460,Sean & Lynette,Brooklyn,Prospect Heights,40.68233,-73.97261,Entire home/apt,131,4,166,27/06/2019,3.4,1,207,
20755,"Large Parlor Room, Landmark Home 1 Block To Pratt",51038,Erica,Brooklyn,Clinton Hill,40.68634,-73.966,Private room,98,7,16,31/05/2019,0.2,6,185,
20853,2-Bed Brownstone Duplex + Garden,79070,Tracy,Brooklyn,Prospect Heights,40.68035,-73.97162,Entire home/apt,250,7,21,21/05/2019,0.3,1,158,
20913,Charming 1 Bed Gr8 Wburg Location!,79402,Christiana,Brooklyn,Williamsburg,40.70984,-73.95775,Entire home/apt,100,5,168,22/07/2018,1.57,1,0,
21293,Sunny Apartment In Artist Home,44145,Tyrome,Brooklyn,Bushwick,40.70093,-73.92609,Entire home/apt,105,3,118,18/06/2019,1.05,2,9,
21456,Light-Filled Classic Central Park ,42032,Dana,Manhattan,Upper West Side,40.79764,-73.96177,Entire home/apt,140,3,81,07/07/2019,0.71,1,198,
21644,"Upper Manhattan, New York",82685,Elliott,Manhattan,Harlem,40.82803,-73.94731,Private room,89,1,1,09/10/2018,0.11,1,365,
21794,Cozy Quiet Room 4 Dooglers!,83257,Olan,Manhattan,Chelsea,40.74008,-74.00271,Private room,98,30,30,01/05/2019,0.27,2,364,
22911,The Stuydio Modern And Light Filled,87773,Shelly,Brooklyn,Bedford-Stuyvesant,40.68413,-73.92357,Entire home/apt,125,7,139,28/10/2018,1.23,2,311,
22918,Loft Bed - Near Transportation-15Min To Times Sq,32294,Ssameer Or Trip,Manhattan,Harlem,40.82279,-73.95139,Private room,60,3,11,03/01/2019,0.87,3,219,
23135,House On Henry (3Rd Flr Suite),11481,Annette,Brooklyn,Carroll Gardens,40.67967,-74.00154,Entire home/apt,175,2,233,24/06/2019,2.09,3,342,
23501,Monkey Retreat Manhattan,63318,Meka,Manhattan,Washington Heights,40.83927,-73.94281,Private room,65,2,68,01/11/2012,0.6,1,312,
23686,2000 Sf 3Br 2Bath West Village Private  Townhouse,93790,Ann,Manhattan,West Village,40.73096,-74.00319,Entire home/apt,500,4,46,18/05/2019,0.55,2,243,
24143,"Williamsburg—Steps To Subway, Private Bath&Balcony",97219,Seth,Brooklyn,Williamsburg,40.71332,-73.94177,Private room,101,3,335,29/05/2019,3.02,1,152,
24285,Beautiful Duplex Apartment,97797,Brenda,Brooklyn,Park Slope,40.66941,-73.98109,Entire home/apt,220,30,88,02/11/2018,0.79,1,9,
25235,Large 2 Bedroom Great For Groups!,87773,Shelly,Brooklyn,Bedford-Stuyvesant,40.68373,-73.92377,Entire home/apt,125,90,162,28/06/2019,1.46,2,137,
25406,"Modern Brooklyn Apt., August Sublet",105538,Erik,Brooklyn,Williamsburg,40.71459,-73.94844,Entire home/apt,80,30,29,26/05/2018,0.4,1,222,
25696,"1,800 Sq Foot In Luxury Building",107628,Dena,Manhattan,Harlem,40.8092,-73.94421,Private room,100,2,170,23/06/2019,1.61,1,346,
26012,Sunny 2-Story Brooklyn Townhouse W Deck And Garden,109589,Jessica,Brooklyn,Gowanus,40.68157,-73.98989,Entire home/apt,200,30,19,17/03/2017,0.2,1,208,
26362,"Times Square, Safe, Clean And Cozy!",59734,Luiz,Manhattan,Hell's Kitchen,40.75527,-73.99291,Private room,59,2,334,16/06/2019,3,2,279,
26520,"Cozy Room #3, Landmark Home 1 Block To Pratt",51038,Erica,Brooklyn,Clinton Hill,40.68698,-73.96572,Private room,125,2,19,02/06/2019,0.2,6,250,
26559,Beautiful Apartment East Village,112793,Sally,Manhattan,East Village,40.7288,-73.98192,Entire home/apt,140,7,12,11/12/2017,0.13,1,164,
26785,Park Slope Green Guest House,42273,Dani,Brooklyn,South Slope,40.66853,-73.98912,Entire home/apt,120,30,467,30/12/2018,4.22,2,192,
26933,2 Br / 2 Bath Duplex Apt With Patio! East Village,72062,Bruce,Manhattan,East Village,40.7254,-73.98157,Entire home/apt,350,2,7,09/08/2017,0.06,4,298,
26954,Nyc Fabulous Views Manhattan'S Eye,115157,Nimo,Manhattan,Kips Bay,40.74294,-73.98009,Entire home/apt,199,5,38,02/12/2015,0.38,1,260,
26969,2 Story Family Home In Williamsburg,115307,Alexandra,Brooklyn,Williamsburg,40.71942,-73.95748,Entire home/apt,325,3,324,23/06/2019,3.01,1,107,
27006,Comfortable Uws 2-Bd Family-Friendly Brownstone,115560,Stacy,Manhattan,Upper West Side,40.77823,-73.97637,Entire home/apt,235,6,27,27/04/2019,0.27,1,199,
27385,Great Large 1 Br Apt  In East Village!,72062,Bruce,Manhattan,East Village,40.72555,-73.97965,Entire home/apt,225,1,115,07/06/2019,1.05,4,299,
27531,Eveland Private Bed & Living Room W/ Own Entrance,118971,Evelyn,Brooklyn,South Slope,40.66831,-73.98604,Private room,99,2,354,20/05/2019,3.2,3,20,
27644,Sugar Hill Rest Stop ,119510,Emma,Manhattan,Harlem,40.82754,-73.94919,Entire home/apt,170,2,195,01/07/2019,2.03,1,318,
27659,3 Story Town House In Park Slope,119588,Vero,Brooklyn,South Slope,40.66499,-73.97925,Entire home/apt,400,2,16,30/12/2018,0.24,2,216,
27759,Apartment Next To Central Park,119900,Sylvie,Manhattan,Upper West Side,40.77842,-73.97556,Entire home/apt,170,7,13,26/06/2019,0.12,1,224,
27883,East Village Sanctuary,120223,Jen,Manhattan,East Village,40.72245,-73.98527,Entire home/apt,100,4,25,10/12/2011,0.23,1,0,
28321,Large 1  Br In A 3 Br Brooklyn Apt. Next To Q Trn.,65091,Kay,Brooklyn,Prospect-Lefferts Gardens,40.65593,-73.96053,Private room,75,2,9,05/10/2018,0.08,1,324,
28396,Modern Apt With Spectacular Views,6197784,Jo,Brooklyn,Williamsburg,40.71923,-73.96468,Private room,90,1,9,18/09/2011,0.08,1,245,
28907,Garden Studio In The Upper East Sid,124352,Lisa,Manhattan,Upper East Side,40.778,-73.94822,Entire home/apt,150,5,21,15/08/2017,0.19,1,189,
29012,Secluded Master Bedroom In Beautiful Huge Apt,124797,Fernando And Lenin,Manhattan,Washington Heights,40.85879,-73.93128,Private room,85,15,36,17/08/2017,0.33,1,307,
29013,B & B Room 1,35935,Angela,Brooklyn,Bedford-Stuyvesant,40.68332,-73.9547,Private room,70,3,63,14/05/2019,0.58,2,310,
29455,Accommodations Galore #1,126607,Laurine,Manhattan,Harlem,40.81618,-73.94894,Entire home/apt,120,3,155,20/06/2019,1.42,3,213,
29628,Sunny Room In New Condo,127608,Chris,Brooklyn,Clinton Hill,40.68414,-73.96351,Private room,89,3,260,03/07/2019,2.35,1,278,
29683,Stylish & Sleek Apartment Near Soho!,125857,Uli,Manhattan,East Village,40.72392,-73.99143,Entire home/apt,185,5,73,25/06/2019,0.66,1,209,
30031,Nyc Artists’ Loft With Roof Deck,129352,Sol,Brooklyn,Greenpoint,40.73494,-73.9503,Private room,50,3,193,20/05/2019,1.86,1,0,
30927,Unique & Charming Small 1Br Apt. Les,120335,Cs,Manhattan,Lower East Side,40.71341,-73.98856,Entire home/apt,105,3,32,14/06/2019,0.29,1,16,
31130,Most Central Location!,117287,Lara,Manhattan,Hell's Kitchen,40.76754,-73.98399,Private room,130,2,50,26/05/2019,0.45,3,234,
31555,Luminous Beautiful West Village Studio,135619,Tom,Manhattan,West Village,40.73442,-74.00303,Entire home/apt,115,29,26,01/07/2019,0.25,1,12,
31902,Sanctuary In East Flatbush,137292,Sunder,Brooklyn,Flatlands,40.63188,-73.93248,Private room,77,2,2,01/01/2019,0.02,1,178,
31994,Room With En Suite Bathroom & Deck,137814,Waldemar,Brooklyn,Clinton Hill,40.6873,-73.9634,Private room,76,2,426,24/06/2019,3.89,3,275,
32023,Flat Macdonough,137974,Khem,Brooklyn,Bedford-Stuyvesant,40.68296,-73.93662,Entire home/apt,125,3,227,23/06/2019,2.09,2,163,
32037,Huge Private  Floor At The Waverly,116599,Sahr,Brooklyn,Clinton Hill,40.6863,-73.96765,Private room,135,4,84,01/07/2019,0.77,3,365,
32100,"Modern Greenpoint, Brooklyn Apt",138579,Ali+Scott,Brooklyn,Greenpoint,40.73409,-73.95348,Entire home/apt,250,29,3,30/07/2017,0.03,1,34,
32289,"Sun-Drenched, Artsy Modernist 1 Bdrm Duplex",139612,Elisabeth,Brooklyn,Williamsburg,40.71561,-73.94835,Entire home/apt,199,3,10,11/06/2018,0.1,1,280,
32331,"Sunny, Cobble Hill Apartment",139874,Sarah,Brooklyn,Cobble Hill,40.6857,-73.99183,Entire home/apt,140,2,4,24/04/2016,0.04,1,0,
32363,Fully Furnished Basement Apartment,140025,Fredah,Queens,Flushing,40.74028,-73.83168,Private room,140,2,1,19/09/2011,0.01,1,1,
32965,Flat Macdonough Garden,137974,Khem,Brooklyn,Bedford-Stuyvesant,40.68281,-73.93524,Entire home/apt,115,3,124,20/06/2019,1.72,2,170,
32969,Light Filled Williamsburg Apartment,142833,Katherine,Brooklyn,Williamsburg,40.71596,-73.93938,Entire home/apt,160,3,11,02/07/2019,0.11,1,188,
33009,Retreat In Williamsburg,143027,Ming,Brooklyn,Williamsburg,40.71492,-73.95935,Entire home/apt,195,4,240,17/06/2019,2.19,1,214,
33014,Nyc Zen,143048,Paula,Manhattan,East Village,40.72354,-73.98295,Entire home/apt,195,3,30,17/06/2019,0.28,1,248,
33223,Cozy Br In Wiliamsburg 3 Bedroom,72014,Lulú,Brooklyn,Williamsburg,40.71165,-73.96087,Private room,80,3,200,22/06/2019,1.86,4,262,
34760,Sunny Room In Old Historical Brooklyn Townhouse,149929,Obed,Brooklyn,Fort Greene,40.69101,-73.97312,Private room,44,8,27,29/06/2019,1.05,5,280,
35526,Sun Filled Classic West Village Apt,120291,Karen,Manhattan,West Village,40.73474,-74.00101,Private room,156,4,79,22/06/2019,0.74,1,307,
36121,Lg Rm In Historic Prospect Heights,62165,Michael,Brooklyn,Prospect Heights,40.67386,-73.96641,Private room,85,15,9,10/05/2013,0.09,1,339,
36133,Classic Artist Loft Williamsburg,142684,White,Brooklyn,Williamsburg,40.71536,-73.96057,Private room,125,3,155,13/06/2019,1.61,1,1,
36442,Great Location. Spacious On Prospect Park,137432,Paz,Brooklyn,Prospect Heights,40.6741,-73.96595,Entire home/apt,115,15,4,27/08/2018,0.05,1,269,
36647,Private Bdrm/Bathrm. New! Elevator!,157798,Irene,Manhattan,East Harlem,40.79295,-73.93997,Private room,69,2,34,29/05/2017,0.32,1,10,
36703,"Sunny, Clean 1 Bdrm In W. Village",158284,Karene,Manhattan,West Village,40.73226,-74.00401,Entire home/apt,225,45,134,31/03/2019,1.24,1,312,
36934,Great Location In Williamsburg,159370,Viviana,Brooklyn,Williamsburg,40.71363,-73.96398,Entire home/apt,125,6,27,27/12/2018,0.25,1,189,
38638,Light And Airy Upper East Side 1 Bdr Apartment,92788,Sara,Manhattan,Upper East Side,40.77711,-73.9527,Entire home/apt,219,4,126,26/06/2019,1.16,2,290,
38663,Luxury Brownstone In Boerum Hill,165789,Sarah,Brooklyn,Boerum Hill,40.68559,-73.98094,Entire home/apt,475,3,23,31/12/2018,0.27,1,230,
39267,Central Park Loft All For You,168417,Marie,Manhattan,Upper East Side,40.77456,-73.95323,Entire home/apt,99,1,234,08/06/2019,2.6,2,164,
39282,Indie-Chic Share In Williamsburg,168525,Gus,Brooklyn,Williamsburg,40.71088,-73.95055,Private room,69,4,202,28/05/2019,1.86,2,53,
39593,"A Room W/ A Manhattan View, Longer Stay",110506,Myung,Queens,Sunnyside,40.74559,-73.92313,Private room,79,30,28,12/04/2019,0.26,1,126,
39704,"Private, Large & Sunny 1Br W/W&D",170510,Renée,Brooklyn,Bedford-Stuyvesant,40.68306,-73.94659,Entire home/apt,135,2,309,22/06/2019,2.86,2,3,
40039,Luxurious Condo In Dubmo With View,171851,Henry,Brooklyn,DUMBO,40.70207,-73.98571,Private room,250,3,14,25/04/2011,0.13,1,189,
40453,Charming & Cozy Midtown Loft Any Week Ends  !!!,174025,Sylvia,Manhattan,Upper East Side,40.76123,-73.9642,Entire home/apt,250,3,4,23/09/2016,0.08,1,365,
41348,* Spacious Garden Park Slope Duplex* 6 People Max,180083,Syl,Brooklyn,Gowanus,40.66858,-73.99083,Entire home/apt,250,2,80,06/07/2019,2.17,1,0,
41513,Convenient Cozy Cheap Apt Manhattan,181167,Lorenzo,Manhattan,Harlem,40.82704,-73.94907,Entire home/apt,80,3,2,02/11/2015,0.04,1,0,
42580,Parlor Room In Victorian Townhouse,137814,Waldemar,Brooklyn,Clinton Hill,40.68843,-73.96408,Private room,70,2,294,24/06/2019,3.47,3,336,
42729,House On Henry (2Nd Flr Suite),11481,Annette,Brooklyn,Carroll Gardens,40.6783,-74.00135,Entire home/apt,165,2,150,18/06/2019,1.4,3,342,
42882,New York Room With A View,185978,Newyorkroomwithaview,Staten Island,St. George,40.64524,-74.08088,Private room,70,2,166,13/06/2019,1.66,1,312,
43957,Sunny Cozy Room In Brklyn Townhouse,177536,Tessa,Brooklyn,Bushwick,40.70641,-73.91765,Private room,50,2,47,19/06/2019,0.94,1,37,
44096,Room With A View,190409,Waundell,Bronx,Highbridge,40.83232,-73.93184,Private room,40,1,219,04/07/2019,2.04,3,353,
44161,Light+Open+Airy+Rustic+Modern Loft,193360,Young,Brooklyn,Williamsburg,40.71045,-73.9677,Entire home/apt,150,2,193,06/07/2016,1.78,1,177,
44212,West Inn 2 - East Village,72062,Bruce,Manhattan,East Village,40.72518,-73.98034,Private room,125,1,84,23/06/2019,0.78,4,310,
